iteration,dataset,model,rotation,metric,value
3,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
4,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
5,CIC-IDS-2017,dt,no_rot,accuracy,0.9894251057489424
6,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
7,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
8,CIC-IDS-2017,dt,no_rot,accuracy,0.9894151058489415
9,CIC-IDS-2017,dt,no_rot,accuracy,0.9894151058489415
10,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
11,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
12,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
13,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
14,CIC-IDS-2017,dt,no_rot,accuracy,0.9894151058489415
15,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
16,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
17,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
18,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
19,CIC-IDS-2017,dt,no_rot,accuracy,0.989430105698943
20,CIC-IDS-2017,dt,no_rot,accuracy,0.9894251057489424
1,CIC-IDS-2017,lgbm,rot,accuracy,0.9730652693473064
2,CIC-IDS-2017,lgbm,rot,accuracy,0.969460305396946
3,CIC-IDS-2017,lgbm,rot,accuracy,0.9715852841471584
4,CIC-IDS-2017,lgbm,rot,accuracy,0.974980250197498
